rank,model_run,model,run,score_trimmed_aoc,mean_aoc,median_aoc,subject_sd,subject_mad,n_subjects,n_targets,chance_level,trim_proportion,results_dir
1,lda_0.1-100.0hz_notch50+100_no_ica,lda,0.1-100.0hz_notch50+100_no_ica,2.3235905103668255,2.2882392473118265,2.463371212121212,1.4493029967247457,1.0417045454545453,31,5,33.33,0.2,data/derivatives__0.1-100.0hz_notch50+100_no_ica/results_decoding
2,lda_0.1-100.0hz_notch50+100_ica,lda,0.1-100.0hz_notch50+100_ica,2.110616028708133,2.0854887585532738,2.2584469696969682,1.5063994589369338,0.9975378787878781,31,5,33.33,0.2,data/derivatives_0.1-100.0hz_notch50+100_ica/results_decoding
3,lda_no_ica,lda,no_ica,2.0298026315789466,2.022594086021505,1.8071590909090904,1.335784363577107,0.9777272727272729,31,5,33.33,0.2,data/derivatives__no_ica/results_decoding
4,lda_notch50+100_no_ica,lda,notch50+100_no_ica,2.0290849282296644,2.0233406647116317,1.8069696969696962,1.3335119004701859,0.983257575757576,31,5,33.33,0.2,data/derivatives__notch50+100_no_ica/results_decoding
5,logreg_0.1-100.0hz_notch50+100_no_ica,logreg,0.1-100.0hz_notch50+100_no_ica,1.9939294258373197,1.9865847996089925,1.8445454545454543,1.2217678918892232,0.7973863636363636,31,5,33.33,0.2,data/derivatives__0.1-100.0hz_notch50+100_no_ica/results_decoding
6,lda_0.3-40.0hz_notch50_no_ica,lda,0.3-40.0hz_notch50_no_ica,1.8499999999999996,2.0524926686217,1.7634090909090905,1.253125841241782,0.6185984848484851,31,5,33.33,0.2,data/derivatives__0.3-40.0hz_notch50_no_ica/results_decoding
7,svm_0.1-100.0hz_notch50+100_no_ica,svm,0.1-100.0hz_notch50+100_no_ica,1.8241885964912274,1.815298142717497,1.888257575757575,1.0757149555747496,0.7492424242424247,31,5,33.33,0.2,data/derivatives__0.1-100.0hz_notch50+100_no_ica/results_decoding
8,lda_notch50+100_ica,lda,notch50+100_ica,1.8021690590111636,1.8486852394916904,1.7485227272727268,1.4872563395127523,1.1316666666666673,31,5,33.33,0.2,data/derivatives__notch50+100_ica/results_decoding
9,lda_ica,lda,ica,1.786042663476873,1.8184689638318667,1.7261742424242421,1.3935160296907905,1.074507575757576,31,5,33.33,0.2,data/derivatives__ica/results_decoding
10,ridge_0.1-100.0hz_notch50+100_no_ica,ridge,0.1-100.0hz_notch50+100_no_ica,1.74328947368421,1.7910508308895399,1.7748863636363634,1.1233050890372844,0.7666287878787876,31,5,33.33,0.2,data/derivatives__0.1-100.0hz_notch50+100_no_ica/results_decoding
11,logreg_0.1-100.0hz_notch50+100_ica,logreg,0.1-100.0hz_notch50+100_ica,1.7162499999999994,1.7499584555229708,1.6068560606060598,1.1840097457091119,0.6067803030303023,31,5,33.33,0.2,data/derivatives_0.1-100.0hz_notch50+100_ica/results_decoding
12,lda_0.3-40.0hz_notch50_ica,lda,0.3-40.0hz_notch50_ica,1.6627811004784678,1.9013367546432056,1.3590909090909087,1.2247018793004567,0.524128787878788,31,5,33.33,0.2,data/derivatives__0.3-40.0hz_notch50_ica/results_decoding
13,logreg_no_ica,logreg,no_ica,1.635903110047846,1.6689088465298136,1.7410606060606058,1.1142174658223463,0.9117045454545445,31,5,33.33,0.2,data/derivatives__no_ica/results_decoding
14,logreg_notch50+100_no_ica,logreg,notch50+100_no_ica,1.6358114035087712,1.6694550342130985,1.7409090909090907,1.1144864789186264,0.9125378787878788,31,5,33.33,0.2,data/derivatives__notch50+100_no_ica/results_decoding
15,svm_0.1-100.0hz_notch50+100_ica,svm,0.1-100.0hz_notch50+100_ica,1.6331559011164265,1.632668621700879,1.6389772727272713,1.0521679441124034,0.6624242424242414,31,5,33.33,0.2,data/derivatives_0.1-100.0hz_notch50+100_ica/results_decoding
16,logreg_0.3-40.0hz_notch50_no_ica,logreg,0.3-40.0hz_notch50_no_ica,1.5734788676236038,1.7234237536656878,1.567310606060605,1.0430225242806495,0.6078030303030306,31,5,33.33,0.2,data/derivatives__0.3-40.0hz_notch50_no_ica/results_decoding
17,ridge_0.1-100.0hz_notch50+100_ica,ridge,0.1-100.0hz_notch50+100_ica,1.5626794258373198,1.6094586999022478,1.5598863636363636,1.0561747265988752,0.6500757575757572,31,5,33.33,0.2,data/derivatives_0.1-100.0hz_notch50+100_ica/results_decoding
18,svm_0.3-40.0hz_notch50_no_ica,svm,0.3-40.0hz_notch50_no_ica,1.520440590111642,1.6139821603128042,1.384128787878787,0.956715606817612,0.6933333333333331,31,5,33.33,0.2,data/derivatives__0.3-40.0hz_notch50_no_ica/results_decoding
19,svm_no_ica,svm,no_ica,1.5060107655502386,1.5713294232649064,1.5780681818181814,1.0245409902198972,0.8237878787878795,31,5,33.33,0.2,data/derivatives__no_ica/results_decoding
20,svm_notch50+100_no_ica,svm,notch50+100_no_ica,1.50438596491228,1.5690493646138801,1.5842803030303023,1.0256661509375402,0.8547727272727277,31,5,33.33,0.2,data/derivatives__notch50+100_no_ica/results_decoding
21,logreg_notch50+100_ica,logreg,notch50+100_ica,1.4527073365231253,1.497184750733137,1.2246212121212114,1.1642878250489566,0.691363636363636,31,5,33.33,0.2,data/derivatives__notch50+100_ica/results_decoding
22,logreg_ica,logreg,ica,1.411220095693779,1.4493927174975554,1.2202272727272725,1.0922407375349341,0.719545454545454,31,5,33.33,0.2,data/derivatives__ica/results_decoding
23,ridge_0.3-40.0hz_notch50_no_ica,ridge,0.3-40.0hz_notch50_no_ica,1.3894218500797442,1.51946725317693,1.3882575757575748,0.9175255740512409,0.6185984848484846,31,5,33.33,0.2,data/derivatives__0.3-40.0hz_notch50_no_ica/results_decoding
24,svm_notch50+100_ica,svm,notch50+100_ica,1.3836822169059004,1.4855315249266858,1.1991666666666663,1.1588360667758875,0.7079166666666666,31,5,33.33,0.2,data/derivatives__notch50+100_ica/results_decoding
25,ridge_notch50+100_no_ica,ridge,notch50+100_no_ica,1.370348883572567,1.4259897360703802,1.3067045454545447,1.0145916567211064,0.7021212121212119,31,5,33.33,0.2,data/derivatives__notch50+100_no_ica/results_decoding
26,ridge_no_ica,ridge,no_ica,1.3673704146730454,1.4238819648093834,1.3072727272727267,1.0124950839114255,0.6940151515151516,31,5,33.33,0.2,data/derivatives__no_ica/results_decoding
27,svm_ica,svm,ica,1.3308393141945765,1.3949315738025407,1.2207954545454534,1.0159028598820727,0.7389393939393935,31,5,33.33,0.2,data/derivatives__ica/results_decoding
28,svm_0.3-40.0hz_notch50_ica,svm,0.3-40.0hz_notch50_ica,1.326134370015948,1.492923998044965,1.2295454545454534,0.9853623788630349,0.4617045454545461,31,5,33.33,0.2,data/derivatives__0.3-40.0hz_notch50_ica/results_decoding
29,logreg_0.3-40.0hz_notch50_ica,logreg,0.3-40.0hz_notch50_ica,1.3153887559808606,1.5285276148582594,1.0822727272727257,0.9931766916623896,0.44685606060606187,31,5,33.33,0.2,data/derivatives__0.3-40.0hz_notch50_ica/results_decoding
30,ridge_notch50+100_ica,ridge,notch50+100_ica,1.240715709728867,1.3052199413489727,0.9748863636363634,1.01343693684967,0.8081439393939387,31,5,33.33,0.2,data/derivatives__notch50+100_ica/results_decoding
31,ridge_ica,ridge,ica,1.2349720893141938,1.2837499999999988,0.9645075757575752,0.9726129193655321,0.6934469696969698,31,5,33.33,0.2,data/derivatives__ica/results_decoding
32,ridge_0.3-40.0hz_notch50_ica,ridge,0.3-40.0hz_notch50_ica,1.1900478468899514,1.3700977517106538,1.1246969696969689,0.8629169828510485,0.5008712121212122,31,5,33.33,0.2,data/derivatives__0.3-40.0hz_notch50_ica/results_decoding
